ticker,companyName,numOfInsiders,transactionTotal
TCBI,TEXAS CAPITAL BANCSHARES INC,10,1365400.0
CHTR,CHARTER COMMUNICATIONS INC,6,2280340164.0
LPSN,LIVEPERSON INC,11,6294137.0
CNP,CENTERPOINT ENERGY INC,3,1412985.0
BYON,BEYOND INC,5,1193438.0
OTRK,ONTRAK INC,6,78582644.0
MDGL,MADRIGAL PHARMACEUTICALS INC,138,77751360.0
DMLP,DORCHESTER MINERALS LP,39,1447717.0
ABR,ARBOR REALTY TRUST INC,13,2277705.0
MACK,MERRIMACK PHARMACEUTICALS INC,16,3532319.0
ET,ENERGY TRANSFER LP,6,27855835.0
CTRN,CITI TRENDS INC,18,9110991.0
GLP,GLOBAL PARTNERS LP,8,2843640.0
GSAT,GLOBALSTAR INC,5,3347838.0
KDP,KEURIG DR PEPPER INC,5,3524868.0
FBIO,FORTRESS BIOTECH INC,5,5948300.0
RILY,B RILEY FINANCIAL INC,10,2277160.0
AMRC,AMERESCO INC,17,2209621.0
GRPN,GROUPON INC,11,3069807.0
HHH,HOWARD HUGHES HOLDINGS INC,38,116777259.0
TLYS,TILLY'S INC,23,3217862.0
TTSH,TILE SHOP HOLDINGS INC,33,2977401.0
RMAX,RE/MAX HOLDINGS INC,5,1402533.0
SOL,EMEREN GROUP LTD,8,2837843.0
KALV,KALVISTA PHARMACEUTICALS INC,8,8912650.0
SEDG,SOLAREDGE TECHNOLOGIES INC,3,1453082.0
ATEX,ANTERIX INC,4,4069683.0
ATXS,ASTRIA THERAPEUTICS INC,7,27604419.0
BSM,BLACK STONE MINERALS LP,9,3225225.0
SQ,BLOCK INC,4,27515209.0
PLSE,PULSE BIOSCIENCES INC,28,9686017.0
SPB,SPECTRUM BRANDS HOLDINGS INC,5,2738724.0
EYPT,EYEPOINT PHARMACEUTICALS INC,20,68925247.0
PI,IMPINJ INC,6,19780844.0
GEG,GREAT ELM GROUP INC,16,1116527.0
AGAE,ALLIED GAMING & ENTERTAINMENT INC,7,2037067.0
RMBL,RUMBLEON INC,3,18938090.0
HPK,HIGHPEAK ENERGY INC,5,4584766.0
LAZY,LAZYDAYS HOLDINGS INC,6,2198864.0
TALO,TALOS ENERGY INC,3,23695517.0
VRCA,VERRICA PHARMACEUTICALS INC,9,12503039.0
LOVE,LOVESAC CO,8,4100883.0
LQDA,LIQUIDIA CORP,3,11000001.0
YMAB,Y-MABS THERAPEUTICS INC,14,3530818.0
HARP,HARPOON THERAPEUTICS INC,8,9006322.0
GRWG,GROWGENERATION CORP,5,1976847.0
XAIR,BEYOND AIR INC,3,2106473.0
AKRO,AKERO THERAPEUTICS INC,4,3677550.0
IGMS,IGM BIOSCIENCES INC,12,3431517.0
AUID,AUTHID INC,5,1339655.0
