ticker,filingdate,formtype,issuername,ownername,officertitle,isdirector,isofficer,istenpercentowner,transactiondate,securityadcode,transactioncode,sharesownedbeforetransaction,transactionshares,sharesownedfollowingtransaction,transactionpricepershare,transactionvalue,securitytitle,directorindirect,natureofownership,dateexercisable,priceexercisable,expirationdate,rownum
ABCL,2022-02-03,5,ABCELLERA BIOLOGICS INC,LECAULT VERONIQUE,Chief Operating Officer,Y,Y,N,2021-11-30,ND,G,1422666,-83333.0,1339333.0,,,Common Shares,D,,,,,1
ABCL,2023-08-09,4,ABCELLERA BIOLOGICS INC,HAYDEN MICHAEL R,,Y,N,N,,N,,118245,,118245.0,,,Common Shares,I,By spouse,,,,2
ABCL,2023-08-09,4,ABCELLERA BIOLOGICS INC,HAYDEN MICHAEL R,,Y,N,N,2023-08-08,NA,P,1273397,30000.0,1303397.0,5.9,177000.0,Common Shares,I,See footnote,,,,1
ABCL,2022-12-05,4,ABCELLERA BIOLOGICS INC,HAYDEN MICHAEL R,,Y,N,N,2022-12-01,DA,A,449814,47231.0,497045.0,13.18,622505.0,Share Option right to buy,D,,2024-06-15,13.18,2032-12-01,1
ABCL,2023-08-25,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2023-08-24,DD,M,6501441,-56125.0,6445316.0,2.7,151538.0,Share option right to buy,D,,,2.7,2030-11-27,3
ABCL,2023-08-25,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,,N,,56012493,,56012493.0,,,Common Shares,I,See footnote,,,,2
ABCL,2023-08-25,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2023-08-24,NA,M,561250,56125.0,617375.0,2.7,151538.0,Common Shares,D,,,,,1
ABCL,2023-05-30,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2023-05-26,DD,M,6557566,-56125.0,6501441.0,2.7,151538.0,Share option right to buy,D,,,2.7,2030-11-18,3
ABCL,2023-05-30,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,,N,,56012493,,56012493.0,,,Common Shares,I,See footnote,,,,2
ABCL,2023-05-30,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2023-05-26,NA,M,505125,56125.0,561250.0,2.7,151538.0,Common Shares,D,,,,,1
ABCL,2023-02-23,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2023-02-22,DD,M,6613691,-56125.0,6557566.0,2.7,151538.0,Share option right to buy,D,,,2.7,2030-11-18,3
ABCL,2023-02-23,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,,N,,55859493,,55859493.0,,,Common Shares,I,See footnote,,,,2
ABCL,2023-02-23,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2023-02-22,NA,M,449000,56125.0,505125.0,2.7,151538.0,Common Shares,D,,,,,1
ABCL,2022-12-05,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2022-12-01,DA,A,5688622,925069.0,6613691.0,13.18,12192409.0,Share Options right to buy,D,,,13.18,2032-12-01,1
ABCL,2022-11-21,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2022-11-18,DD,M,5744747,-56125.0,5688622.0,2.7,151538.0,Share option right to buy,D,,,2.7,2030-11-18,3
ABCL,2022-11-21,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,,N,,55774391,,55774391.0,,,Common Shares,I,See footnote,,,,2
ABCL,2022-11-21,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2022-11-18,NA,M,392875,56125.0,449000.0,2.7,151538.0,Common Shares,D,,,,,1
ABCL,2022-08-22,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2022-08-18,DD,M,5800872,-56125.0,5744747.0,2.7,151538.0,Share option right to buy,D,,,2.7,2030-11-18,3
ABCL,2022-08-22,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,,N,,55644391,,55644391.0,,,Common Shares,I,See Footnote,,,,2
ABCL,2022-08-22,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2022-08-18,NA,M,336750,56125.0,392875.0,2.7,151538.0,Common Shares,D,,,,,1
ABCL,2022-05-19,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2022-05-18,DD,M,5856997,-56125.0,5800872.0,2.7,151538.0,Share option right to buy,D,,,2.7,2030-11-18,3
ABCL,2022-05-19,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,,N,,55515758,,55515758.0,,,Common Shares,I,See Footnote,,,,2
ABCL,2022-05-19,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2022-05-18,NA,M,280625,56125.0,336750.0,2.7,151538.0,Common Shares,D,,,,,1
ABCL,2022-02-25,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2022-02-22,DD,M,5913122,-56125.0,5856997.0,2.7,151538.0,Share option right to buy,D,,,2.7,2030-11-18,3
ABCL,2022-02-25,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,,N,,53807290,,53807290.0,,,Common Shares,I,See Footnote,,,,2
ABCL,2022-02-25,4,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2022-02-22,NA,M,224500,56125.0,280625.0,2.7,151538.0,Common Shares,D,,,,,1
ABCL,2022-02-03,5,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,,N,,224500,,224500.0,,,Common Shares,D,,,,,4
ABCL,2022-02-03,5,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2021-12-07,ND,G,54557290,-750000.0,53807290.0,,,Common Shares,I,See Footnote,,,,3
ABCL,2022-02-03,5,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2021-05-24,ND,G,55807290,-1250000.0,54557290.0,,,Common Shares,I,See Footnote,,,,2
ABCL,2022-02-03,5,ABCELLERA BIOLOGICS INC,HANSEN CARL L G,Chief Executive Officer,Y,Y,Y,2021-05-24,ND,G,223500,-223500.0,,,,Common Shares,I,See Footnote,,,,1
ABCL,2023-05-26,4,ABCELLERA BIOLOGICS INC,BOOTH ANDREW,Chief Financial Officer,N,Y,N,,N,,130959,,130959.0,,,Common Shares,I,By spouse,,,,2
ABCL,2023-05-26,4,ABCELLERA BIOLOGICS INC,BOOTH ANDREW,Chief Financial Officer,N,Y,N,2023-05-26,NA,P,138500,14500.0,153000.0,6.85,99325.0,Common Shares,D,,,,,1
ABCL,2022-12-22,4,ABCELLERA BIOLOGICS INC,BOOTH ANDREW,Chief Financial Officer,N,Y,N,2022-12-20,DD,M,5870481,-50000.0,5820481.0,0.19,9500.0,Share option right to buy,D,,,0.19,2026-06-15,4
ABCL,2022-12-22,4,ABCELLERA BIOLOGICS INC,BOOTH ANDREW,Chief Financial Officer,N,Y,N,,N,,130959,,130959.0,,,Common shares,I,By spouse,,,,3
ABCL,2022-12-22,4,ABCELLERA BIOLOGICS INC,BOOTH ANDREW,Chief Financial Officer,N,Y,N,2022-12-20,ND,G,188500,-50000.0,138500.0,,,Common shares,D,,,,,2
ABCL,2022-12-22,4,ABCELLERA BIOLOGICS INC,BOOTH ANDREW,Chief Financial Officer,N,Y,N,2022-12-20,NA,M,138500,50000.0,188500.0,0.19,9500.0,Common Shares,D,,,,,1
ABCL,2022-12-05,4,ABCELLERA BIOLOGICS INC,BOOTH ANDREW,Chief Financial Officer,N,Y,N,2022-12-01,DA,A,5384820,485661.0,5870481.0,13.18,6401012.0,Share Options right to buy,D,,,13.18,2032-12-01,1
ABCL,2022-05-16,4,ABCELLERA BIOLOGICS INC,BOOTH ANDREW,Chief Financial Officer,N,Y,N,,N,,130959,,130959.0,,,Common Shares,I,By spouse,,,,2
ABCL,2022-05-16,4,ABCELLERA BIOLOGICS INC,BOOTH ANDREW,Chief Financial Officer,N,Y,N,2022-05-12,NA,P,53500,85000.0,138500.0,5.79,492150.0,Common Shares,D,,,,,1
ABCL,2022-02-03,5,ABCELLERA BIOLOGICS INC,BOOTH ANDREW,Chief Financial Officer,N,Y,N,,N,,130959,,130959.0,,,Common Shares,I,By spouse,,,,2
ABCL,2022-02-03,5,ABCELLERA BIOLOGICS INC,BOOTH ANDREW,Chief Financial Officer,N,Y,N,2021-12-10,ND,G,553500,-500000.0,53500.0,,,Common Shares,D,,,,,1
