release_date,title,budget,revenue
1940-08-30,Boom Town,2.0,9.172
1940-10-15,The Great Dictator,2.0,11.0
1940-11-13,Fantasia,2.28,83.32
1941-04-30,Citizen Kane,0.839727,23.217674
1941-07-02,Sergeant York,1.4,16.361885
1941-10-22,Dumbo,0.812,1.6
1941-10-28,How Green Was My Valley,1.25,6.0
1941-11-14,Suspicion,1.103,4.5
1941-11-18,The Maltese Falcon,0.375,1.0
1942-06-04,Mrs. Miniver,1.344,13.5
1942-07-31,Invisible Agent,0.322,1.04
1942-08-14,Bambi,0.858,267.44715
1942-10-21,For Me and My Gal,0.802,4.371
1942-11-26,Casablanca,0.878,10.4625
1942-12-05,Cat People,0.134,4.0
1943-04-09,Cabin in the Sky,0.662141,1.606624
1943-05-03,Five Graves to Cairo,0.855,1.2
1944-03-01,A Guy Named Joe,2.627,5.363
1944-04-24,Double Indemnity,0.927262,2.5
1944-07-01,Bathing Beauty,2.361,6.892
1944-08-01,Wilson,2.995,2.0
1944-10-11,Laura,1.02,2.0
1945-06-01,The Valley of Decision,2.16,9.132
1945-09-24,Mildred Pierce,1.453,5.638
1945-11-25,The Lost Weekend,1.25,11.0
1945-12-28,Scarlet Street,1.202007,2.948386
1945-12-28,Spellbound,1.5,7.0
1946-08-15,Notorious,2.0,24.464742
1946-12-20,It's a Wonderful Life,3.18,9.644124
1946-12-25,The Best Years of Our Lives,2.1,23.65
1946-12-31,Duel in the Sun,6.0,20.4
1947-11-11,Gentleman's Agreement,2.0,7.8
1948-01-24,The Treasure of the Sierra Madre,3.8,4.307
1948-03-26,Fort Apache,2.5,3.0
1948-04-06,Miranda,0.78417,0.834332
1948-06-11,The Pirate,3.7,2.956
1948-08-23,Rope,1.5,2.2
1948-08-26,Red River,3.0,9.012
1948-11-24,Bicycle Thieves,0.133,0.361712
1948-12-01,3 Godfathers,1.243,2.841
1949-10-22,She Wore a Yellow Ribbon,1.6,5.4
1949-12-14,Sands of Iwo Jima,1.0,7.8
1949-12-21,Samson and Delilah,3.0,11.5
1950-03-04,Cinderella,2.9,263.591415
1950-03-31,Wabash Avenue,2.115,2.039
1950-05-17,Annie Get Your Gun,3.768785,8.0
1950-08-10,Sunset Boulevard,1.752,5.0
1950-11-09,All About Eve,1.4,0.063463
1950-12-26,Rashomon,0.25,0.096568
1951-03-08,Valentino,1.3,1.55
1951-06-18,Strangers on a Train,1.2,7.0
1951-06-29,Ace in the Hole,1.821052,1.3
1951-07-03,Alice in Wonderland,3.0,572.0
1951-07-13,Show Boat,2.3,11.0
1951-08-08,An American in Paris,2.723903,4.5
1951-09-18,A Streetcar Named Desire,1.8,8.0
1951-11-08,Quo Vadis,8.25,30.0
1951-12-03,The African Queen,1.3,10.75
1952-01-10,The Greatest Show on Earth,4.0,36.0
1952-03-27,High Noon,0.73,8.0
1952-04-10,Singin' in the Rain,2.5408,7.2
1952-05-08,Scaramouche,3.005,6.746
1953-01-26,Niagara,1.25,8.5
1953-02-05,Peter Pan,4.0,87.404651
1953-04-10,House of Wax,0.658,23.8
1953-04-11,Titanic,1.805,4.905
1953-04-23,Shane,3.1,20.0
1953-06-13,"The Beast from 20,000 Fathoms",0.21,5.0
1953-06-25,Robot Monster,0.016,1.0
1953-08-13,The War of the Worlds,2.0,2.0
1953-08-28,From Here to Eternity,1.65,30.5
1953-09-02,Roman Holiday,1.5,12.0
1953-09-16,The Robe,4.1,36.0
1954-04-26,Seven Samurai,2.0,0.271841
1954-05-29,Dial M for Murder,1.4,3.0
1954-06-22,On the Waterfront,0.91,9.6
1954-06-24,The Caine Mutiny,2.0,21.75
1954-08-01,Rear Window,1.0,36.764313
1954-08-25,The Egyptian,5.0,15.0
1954-09-28,Sabrina,2.238813,10.0
1954-12-20,The Silver Chalice,4.5,3.2
1954-12-23,"20,000 Leagues Under the Sea",5.0,28.2
1955-01-07,Bad Day at Black Rock,1.271,3.788
1955-02-15,The Fast and the Furious,0.066,0.25
1955-03-09,East of Eden,1e-06,5e-06
1955-04-11,Marty,0.343,3.0
1955-08-03,To Catch a Thief,2.5,8.75
1955-10-03,The Trouble with Harry,1.2,7.0
1956-03-15,Forbidden Planet,1.9,3.25
1956-05-30,Trapeze,4.0,14.4
1956-06-01,The Man Who Knew Too Much,2.5,10.25
1956-06-27,Moby Dick,4.5,10.4
1956-06-29,The King and I,4.55,21.3
1956-07-03,Somebody Up There Likes Me,1.92,3.36
1956-08-21,War and Peace,6.0,12.5
1956-10-05,The Ten Commandments,13.0,122.7
1956-10-10,Giant,5.4,35.0
1956-10-17,Around the World in Eighty Days,6.0,42.0
1956-11-15,Love Me Tender,1.0,9.0
1956-12-22,The Wrong Man,1.2,2.0
1957-03-25,12 Angry Men,0.35,1.0
1957-06-19,I Was a Teenage Werewolf,0.082,2.0
1957-10-02,The Bridge on the River Kwai,3.0,27.2
1957-12-17,Witness for the Prosecution,3.0,9.0
1957-12-17,Legend of the Lost,1.75,2.2
1958-02-17,Cat on a Hot Tin Roof,3.0,17.570324
1958-03-18,South Pacific,6.0,36.8
1958-04-23,Touch of Evil,0.829,2.247465
1958-05-09,Vertigo,2.479,28.0
1958-05-19,Attack of the 50 Foot Woman,0.088,0.48
1958-07-16,The Fly,0.7,3.0
1958-10-01,Macabre,0.09,5.0
1959-01-28,Sleeping Beauty,6.0,51.0
1959-03-18,Some Like It Hot,2.883848,25.0
1959-06-18,The Nun's Story,3.5,12.8
1959-07-07,North by Northwest,4.0,13.275
1959-12-25,Solomon and Sheba,5.0,12.2
1959-12-26,Ben-Hur,15.0,146.9
1960-03-27,Exodus,4.0,21.75
1960-04-06,Peeping Tom,0.15,0.083957
1960-05-24,Never on Sunday,0.151,8.0
1960-06-15,The Apartment,3.0,25.0
1960-06-16,Psycho,0.806948,32.0
1960-06-19,Elmer Gantry,3.0,10.4
1960-06-21,House of Usher,0.27,1.45
1960-07-20,The Bellboy,0.9,10.0
1960-10-06,Spartacus,12.0,60.0
1960-10-22,The Magnificent Seven,2.0,4.905
1960-10-23,The Alamo,12.0,7.9
1960-12-18,Cinderfella,3.0,7.1
1961-01-01,The Misfits,4.0,8.2
1961-01-25,One Hundred and One Dalmatians,4.0,215.880014
1961-03-30,One-Eyed Jacks,6.0,4.3
1961-04-27,The Guns of Navarone,6.0,28.9
1961-05-04,Parrish,1.5,4.2
1961-07-12,Voyage to the Bottom of the Sea,1.58,7.0
1961-08-12,The Pit and the Pendulum,0.2,2.0
1961-09-06,A Woman Is a Woman,0.16,0.100655
1961-09-25,The Hustler,2.0,7.6
1961-10-05,Breakfast at Tiffany's,2.5,9.5
1961-10-11,King of Kings,5.037,14.483352
1961-10-18,West Side Story,6.0,43.656822
1961-12-01,Judgment at Nuremberg,3.0,10.0
1961-12-15,"One, Two, Three",3.0,4.0
1961-12-18,Pocketful of Miracles,2.9,5.0
1962-04-22,The Man Who Shot Liberty Valance,3.2,8.0
1962-05-22,The Miracle Worker,0.5,2.5
1962-06-08,Eegah,0.015,0.003274
1962-06-13,Lolita,2.0,9.25
1962-07-03,Birdman of Alcatraz,2.65,3.1
1962-09-20,Vivre Sa Vie,0.064,0.024517
1962-09-25,The Longest Day,10.0,50.1
1962-10-04,Dr. No,0.95,59.6
1962-10-24,The Manchurian Candidate,80.0,96.10591
1962-11-01,How the West Was Won,15.0,50.0
1962-11-08,Mutiny on the Bounty,19.0,13.68
1962-12-10,Lawrence of Arabia,15.0,69.995385
1962-12-25,To Kill a Mockingbird,2.0,13.129846
1963-01-25,The Raven,0.35,1.499275
1963-03-28,The Birds,2.5,11.403529
1963-05-06,55 Days at Peking,17.0,10.0
1963-05-29,Hud,2.5,10.0
1963-06-06,Blood Feast,0.0245,4.0
1963-06-12,Donovan's Reef,2.686,6.6
1963-06-12,Cleopatra,31.115,71.0
1963-06-20,The Great Escape,4.0,11.744471
1963-10-06,Tom Jones,1.0,37.6
1963-10-11,From Russia with Love,2.0,78.898765
1963-10-21,Contempt,0.9,0.528428
1963-11-07,"It's a Mad, Mad, Mad, Mad World",9.4,60.0
1963-12-05,Charade,4.0,13.474588
1963-12-25,The Sword in the Stone,3.0,22.182353
1964-01-22,Zulu,3.5,8.0
1964-01-29,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1.8,9.440272
1964-03-24,The Fall of the Roman Empire,19.0,4.75
1964-07-06,A Hard Day's Night,0.56,12.299668
1964-07-09,Marnie,2.135161,7.0
1964-08-05,Band of Outsiders,0.12,0.182857
1964-08-06,The Night of the Iguana,3.0,12.0
1964-08-27,Mary Poppins,6.0,102.272727
1964-09-12,A Fistful of Dollars,0.2,14.5
1964-09-17,Goldfinger,2.5,124.881062
1964-09-21,The Train,5.8,6.8
1964-10-21,My Fair Lady,17.0,72.070731
1965-02-15,The Greatest Story Ever Told,20.0,15.473333
1965-03-02,The Sound of Music,8.2,286.214286
1965-04-07,Major Dundee,3.8,0.014873
1965-06-03,Those Magnificent Men in Their Flying Machines or How I Flew from London to Paris in 25 hours 11 minutes,5.6,29.95
1965-07-01,The Great Race,12.0,25.333333
1965-12-10,A Patch of Blue,0.8,6.792
1965-12-16,Thunderball,5.5,141.195658
1965-12-18,For a Few Dollars More,0.6,15.0
1965-12-22,Doctor Zhivago,11.0,111.858363
1966-01-09,Dracula: Prince of Darkness,0.280379,0.364937
1966-02-23,Harper,3.5,12.0
1966-06-21,Who's Afraid of Virginia Woolf?,7.5,33.736689
1966-07-13,Torn Curtain,3.0,13.0
1966-08-24,Fantastic Voyage,5.115,12.0
1966-09-08,The Battle of Algiers,0.8,0.921548
1966-10-10,Hawaii,15.0,34.562222
1966-12-12,A Man for All Seasons,3.9,28.35
1966-12-17,El Dorado,4.653,6.0
1966-12-20,The Sand Pebbles,12.0,20.0
1966-12-23,"The Good, the Bad and the Ugly",1.2,6.0
1967-01-05,A Countess from Hong Kong,3.5,2.0
1967-03-21,Hombre,5.86,12.0
1967-04-13,Casino Royale,12.0,41.744718
1967-06-12,You Only Live Twice,9.5,111.584787
1967-06-15,The Dirty Dozen,5.4,45.3
1967-06-22,Cool Hand Luke,3.0,16.217773
1967-07-18,Bonnie and Clyde,2.5,50.7
1967-08-02,In the Heat of the Night,2.0,27.379978
1967-08-18,The Born Losers,0.36,36.0
1967-08-30,Point Blank,2.5,3.2
1967-10-17,The Jungle Book,4.0,205.843612
1967-10-26,Wait Until Dark,4.0,11.0
1967-12-11,Guess Who's Coming to Dinner,4.0,56.666667
1967-12-14,In Cold Blood,3.5,13.007551
1967-12-19,Doctor Dolittle,18.0,9.0
1967-12-21,The Graduate,3.0,104.945305
1967-12-27,Valley of the Dolls,5.0,50.0
1968-02-07,Planet of the Apes,5.8,33.395426
1968-03-22,The Bride Wore Black,0.747,0.044566
1968-04-10,2001: A Space Odyssey,10.5,68.7
1968-06-12,Rosemary's Baby,3.2,33.395426
1968-07-04,The Green Berets,7.0,11.0
1968-07-18,Star!,14.32,14.0
1968-07-31,Hang 'em High,1.8,6.8
1968-09-19,Funny Girl,14.0,52.223306
1968-09-23,Charly,0.95,0.814666
1968-09-26,Oliver!,10.0,37.402877
1968-10-01,Night of the Living Dead,0.114,30.0
1968-10-10,Barbarella,9.0,2.5
1968-10-15,Vixen!,0.076,6.0
1968-10-17,Bullitt,5.5,42.300873
1968-11-06,Shalako,1.455,2.62
1968-12-04,Where Eagles Dare,7.7,21.0
1968-12-21,Once Upon a Time in the West,5.0,5.321508
1969-01-01,Sweet Charity,8.0,20.0
1969-04-30,Hard Contract,4.0,1.75
1969-05-25,Midnight Cowboy,3.6,44.785053
1969-06-17,The Wild Bunch,6.244087,0.638641
1969-09-17,Bob & Carol & Ted & Alice,2.0,30.0
1969-09-23,Butch Cassidy and the Sundance Kid,6.0,102.308889
1969-10-15,Paint Your Wagon,20.0,31.678778
1969-12-12,"Hello, Dolly!",24.0,33.208099
1969-12-12,On Her Majesty's Secret Service,6.5,81.974493
1969-12-18,Topaz,4.0,6.0
1970-01-24,M*A*S*H,3.5,81.6
1970-01-25,Patton,12.0,89.8
1970-01-26,Tora! Tora! Tora!,25.485,29.548291
1970-01-27,The Molly Maguires,11.0,2.2
1970-02-09,Zabriskie Point,7.0,1.0
1970-03-05,Airport,10.0,100.489151
1970-03-26,Woodstock,0.6,34.50511
1970-05-01,Beneath the Planet of the Apes,3.0,18.999718
1970-05-13,The Ballad of Cable Hogue,3.716946,5.0
1970-06-22,Kelly's Heroes,4.0,5.2
1970-06-24,Catch-22,18.0,24.91167
1970-06-24,Myra Breckinridge,5.0,3.0
1970-07-15,Joe,0.106,19.319254
1970-07-17,Beyond the Valley of the Dolls,2.09,40.0
1970-10-26,Waterloo,25.0,3.052
1970-10-29,The Private Life of Sherlock Holmes,10.0,1.5
1970-12-14,Little Big Man,15.0,31.559552
1970-12-16,Love Story,2.2,136.4
1970-12-23,The Aristocats,4.0,55.675257
1971-01-15,Vanishing Point,1.3,72.266306
1971-03-11,THX 1138,0.777,2.437
1971-03-12,The Andromeda Strain,6.5,12.376563
1971-04-23,Sweet Sweetback's Baadasssss Song,0.15,15.2
1971-04-28,Bananas,2.0,11.833696
1971-05-20,Escape from the Planet of the Apes,2.5,12.348905
1971-06-29,Willy Wonka & the Chocolate Factory,3.0,4.0
1971-07-02,Shaft,4.0,12.121618
1971-07-14,The Touch,6.9,6.53
1971-10-03,The Last Picture Show,1.3,29.133
1971-10-07,Bedknobs and Broomsticks,20.0,17.9
1971-10-09,The French Connection,1.8,41.158757
1971-11-03,Fiddler on the Roof,9.0,83.30433
1971-11-03,Play Misty for Me,0.725,10.6
1971-12-13,Diamonds Are Forever,7.2,116.019547
1971-12-18,A Clockwork Orange,2.2,26.589
1971-12-21,Dirty Harry,4.0,35.976
1971-12-29,Straw Dogs,2.2,3.251794
1972-01-13,The Cowboys,6.0,7.5
1972-02-19,The Goalie's Anxiety at the Penalty Kick,0.41,0.0001
1972-03-12,Pink Flamingos,0.012,6.0
1972-03-14,The Godfather,6.0,245.066411
1972-05-25,Frenzy,3.5,12.6
1972-06-01,The Way of the Dragon,0.13,85.0
1972-06-08,Shaft's Big Score!,1.978,10.0
1972-06-29,Conquest of the Planet of the Apes,1.7,9.7
1972-07-30,Deliverance,2.0,46.122355
1972-08-01,The Legend of Boggy Creek,0.1,22.0
1972-08-06,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,2.0,18.01629
1972-10-14,Last Tango in Paris,1.25,36.144
1972-12-01,The Poseidon Adventure,5.0,84.563118
1972-12-13,The Getaway,3.352254,58.831997
1973-04-19,High Plains Drifter,5.5,15.7
1973-05-23,Pat Garrett & Billy the Kid,4.638783,11.0
1973-06-14,Shaft in Africa,2.142,1.458
1973-06-15,Battle for the Planet of the Apes,1.7,8.844595
1973-07-05,Live and Let Die,7.0,161.777836
1973-07-20,Dillinger,1.0,2.0
1973-08-01,American Graffiti,0.777,140.0
1973-08-08,Heavy Traffic,0.95,1.5
1973-08-17,Enter the Dragon,0.85,90.0
1973-10-02,Mean Streets,0.5,3.0
1973-11-08,Robin Hood,15.0,32.056467
1973-12-05,Serpico,3.0,29.8
1973-12-13,Papillon,12.0,53.267
1973-12-17,Sleeper,2.0,18.344729
1973-12-25,The Sting,5.5,159.616327
1973-12-26,The Exorcist,8.0,441.306145
1974-02-07,Blazing Saddles,2.6,119.5
1974-03-27,The Great Gatsby,6.5,26.5332
1974-04-05,The Sugarland Express,3.0,12.8
1974-04-07,The Conversation,1.6,4.42
1974-05-01,The Lords of Flatbush,0.16,4.0
1974-06-20,Chinatown,6.0,30.0
1974-07-24,Death Wish,3.0,22.0
1974-08-21,The Longest Yard,2.9,43.008075
1974-10-01,The Texas Chain Saw Massacre,0.085,30.859
1974-10-18,Airport 1975,3.0,47.0
1974-11-15,Earthquake,7.0,79.666653
1974-12-01,The Man with the Golden Gun,7.0,97.572
1974-12-14,The Towering Inferno,14.0,116.0
1974-12-15,Young Frankenstein,2.8,86.273333
1974-12-20,The Godfather: Part II,13.0,47.542841
1975-03-01,At Long Last Love,6.0,1.5
1975-03-13,Monty Python and the Holy Grail,0.4,5.028948
1975-03-19,Tommy,5.0,34.251525
1975-04-16,Capone,0.97,2.0
1975-04-27,Death Race 2000,0.3,8.0
1975-05-21,The Return of the Pink Panther,5.0,41.833347
1975-05-21,Breakout,1.0,16.0
1975-06-10,Love and Death,3.0,20.173742
1975-06-18,Jaws,7.0,470.654
1975-08-08,"Farewell, My Lovely",2.5,2.0
1975-08-11,Dog Day Afternoon,1.8,46.665856
1975-08-14,The Rocky Horror Picture Show,1.2,112.892319
1975-09-04,Hard Times,2.7,5.0
1975-09-07,Bizim Aile,0.0657,0.2146
1975-10-11,Let's Do It Again,0.07,11.8
1975-11-18,One Flew Over the Cuckoo's Nest,3.0,108.981275
1975-12-18,Barry Lyndon,11.0,20.0
1975-12-25,Lucky Lady,13.0,24.441725
1976-01-01,Tosun Pasha,0.0642,0.6982
1976-02-07,Taxi Driver,1.3,28.262574
1976-03-31,Jackson County Jail,0.445,2.3
1976-04-04,All the President's Men,8.5,70.6
1976-04-07,The Bad News Bears,35.0,35.323292
1976-04-09,Family Plot,2.0,7.9
1976-04-23,Stay Hungry,5.0,24.854765
1976-06-06,The Omen,2.8,60.92298
1976-06-23,Logan's Run,9.0,25.0
1976-06-30,The Outlaw Josey Wales,3.7,31.8
1976-07-06,Cannonball,0.78,1.5
1976-09-08,King Kong,23.0,90.614445
1976-10-05,Marathon Man,6.5,21.70902
1976-11-01,Network,3.8,23.689877
1976-11-03,Carrie,1.8,33.8
1976-11-21,Rocky,1.0,117.235147
1976-12-03,Silver Streak,6.5,51.079064
1976-12-15,The Pink Panther Strikes Again,6.0,33.833201
1976-12-16,A Star Is Born,6.0,161.0
1976-12-20,The Enforcer,9.0,46.236
1977-01-01,The Last Wave,0.81,1.258
1977-02-09,Wizards,1.2,9.0
1977-02-25,Tentacles,0.75,3.0
1977-03-11,Airport '77,6.0,30.0
1977-03-19,Eraserhead,0.01,7.0
1977-04-19,Annie Hall,4.0,38.251425
1977-05-25,Star Wars,11.0,775.398007
1977-06-15,A Bridge Too Far,22.0,50.75
1977-06-17,Exorcist II: The Heretic,14.0,30.749142
1977-06-22,The Rescuers,1.2,71.215869
1977-06-24,Sorcerer,22.0,12.0
1977-07-07,The Spy Who Loved Me,14.0,185.438673
1977-07-15,Sinbad and the Eye of the Tiger,3.5,16.0
1977-07-22,Orca: The Killer Whale,6.0,14.717854
1977-07-22,The Hills Have Eyes,0.23,25.0
1977-08-24,Kingdom of the Spiders,0.5,17.0
1977-09-10,Damnation Alley,17.0,8.72
1977-11-16,Close Encounters of the Third Kind,20.0,303.788635
1977-12-16,Saturday Night Fever,3.5,237.113184
1977-12-21,The Gauntlet,5.5,26.414658
1977-12-25,High Anxiety,3.4,31.063038
1978-03-10,The Fury,5.5,24.0
1978-04-23,"Same Time, Next Year",0.000118,1.9e-05
1978-04-26,F.I.S.T.,1.1e-05,1.1e-05
1978-05-18,The Buddy Holly Story,1.2,14.3634
1978-05-26,An Unmarried Woman,2.515,24.0
1978-06-01,Good Guys Wear Black,1.0,18.3
1978-06-09,Damien: Omen II,6.8,26.518355
1978-06-16,Jaws 2,20.0,187.884007
1978-06-27,Convoy,12.0,22.765081
1978-07-07,Grease,6.0,181.81377
1978-07-27,Animal House,2.7,141.0
1978-08-02,Eyes of Laura Mars,7.0,20.0
1978-09-02,Dawn of the Dead,0.65,55.0
1978-09-12,Midnight Express,2.3,35.0
1978-10-06,Death on the Nile,7.92,14.560084
1978-10-14,Watership Down,1.0,3.713768
1978-10-24,The Wiz,24.0,21.049053
1978-10-25,Halloween,0.3,70.0
1978-11-01,Force 10 from Navarone,5.0,7.23
1978-11-14,Killer of Sheep,0.1,0.362222
1978-11-15,The Lord of the Rings,4.0,30.47142
1978-12-08,The Deer Hunter,15.0,50.0
1978-12-13,Superman,55.0,300.218018
1978-12-19,Invasion of the Body Snatchers,3.5,24.046533
1978-12-19,Every Which Way But Loose,5e-06,8.5e-05
1979-01-01,Prophecy,12.0,54.0
1979-01-21,Caligula,17.5,23.43812
1979-02-08,The Warriors,4.0,22.490039
1979-03-16,The China Syndrome,5.9,51.718367
1979-03-28,Phantasm,0.3,11.988469
1979-04-12,Mad Max,0.4,100.0
1979-05-24,Breaking Away,2.3,20.0
1979-05-25,Alien,11.0,104.931801
1979-06-15,Rocky II,7.0,200.18216
1979-06-15,The In-Laws,9.0,38.2
1979-06-22,Escape from Alcatraz,8.0,43.0
1979-06-26,Moonraker,34.0,210.308099
1979-07-06,The Frisco Kid,9.2,9.346177
1979-07-13,Tim,0.6,0.809
1979-08-03,More American Graffiti,2.5,15.014674
1979-08-15,Apocalypse Now,31.5,89.460381
1979-08-17,Life of Brian,4.0,20.045115
1979-08-17,The Concorde... Airport '79,14.0,13.015688
1979-10-17,The Black Stallion,2.7,37.799643
1979-11-07,The Rose,9.25,29.174648
1979-12-06,Star Trek: The Motion Picture,35.0,139.0
1979-12-13,1941,35.0,31.755742
1979-12-18,Kramer vs. Kramer,8.0,106.26
1979-12-18,The Black Hole,20.0,35.841901
1980-02-08,American Gigolo,4.8,22.743674
1980-02-08,The Fog,1.0,21.378361
1980-03-07,Coal Miner's Daughter,15.0,67.182787
1980-03-28,When Time Ran Out...,20.0,3.763988
1980-05-09,Friday the 13th,0.55,59.754601
1980-05-12,The Long Riders,10.0,15.795189
1980-05-17,The Empire Strikes Back,18.0,538.4
1980-05-22,The Shining,19.0,44.017374
1980-05-28,The Big Red One,4.5,7.20622
1980-05-30,The Hollywood Knights,2.5,10.0
1980-06-06,Galaxina,5.5,4.865
1980-06-17,The Blues Brothers,27.0,115.22989
1980-06-19,Rough Cut,14.0,16.656125
1980-06-25,Dressed to Kill,6.5,31.899
1980-07-02,Airplane!,3.5,83.453539
1980-07-05,The Blue Lagoon,4.5,58.853106
1980-07-11,Used Cars,8.0,11.715321
1980-07-18,Prom Night,1.0,14.796236
1980-07-25,Caddyshack,6.0,39.846344
1980-08-08,Xanadu,20.0,22.471595
1980-09-01,Flash Gordon,35.0,27.10796
1980-09-02,Atlantic City,7.2,12.729678
1980-09-08,Battle Beyond the Stars,2.0,11.0
1980-09-10,The Gods Must Be Crazy,5.0,60.0
1980-09-26,Stardust Memories,10.0,10.389003
1980-10-02,The Elephant Man,5.0,26.010864
1980-11-14,Raging Bull,18.0,23.0
1980-11-19,Heaven's Gate,44.0,3.484331
1980-12-04,Superman II,54.0,190.458706
1980-12-25,Altered States,15.0,19.853892
1981-01-14,Scanners,4.1,14.225876
1981-02-05,Goodbye Pork Pie,0.3,1.4
1981-02-11,Sphinx,14.0,0.439564
1981-03-15,Clash of the Titans,15.0,41.092328
1981-03-17,Nighthawks,5.0,19.905359
1981-04-03,The Howling,1.0,17.985893
1981-04-04,This Is Elvis,5.0,2.028612
1981-04-10,Excalibur,11.0,34.967437
1981-04-24,The Hand,6.5,0.566736
1981-05-01,Friday the 13th Part 2,1.25,21.722776
1981-05-15,Chariots of Fire,5.5,58.972904
1981-05-22,Escape from New York,6.0,50.2447
1981-05-22,Outland,16.0,17.374595
1981-05-29,Dead & Buried,3.0,0.216166
1981-06-12,History of the World: Part I,11.0,31.672907
1981-06-12,Raiders of the Lost Ark,18.0,389.925971
1981-06-17,Escape to Victory,10.0,27.453418
1981-06-19,The Cannonball Run,18.0,72.179579
1981-06-23,For Your Eyes Only,28.0,195.312802
1981-06-25,Stripes,10.0,85.3
1981-06-26,Roadgames,1.75,0.1
1981-06-26,Dragonslayer,18.0,14.110013
1981-07-10,The Fox and the Hound,12.0,29.8
1981-07-13,Time Bandits,5.0,42.365581
1981-07-17,Arthur,7.0,95.461682
1981-07-24,Wolfen,17.0,10.626725
1981-07-24,Blow Out,18.0,12.0
1981-07-31,Under the Rainbow,20.0,2.297493
1981-08-13,Gallipoli,3.0,11.74
1981-08-20,The Legend of the Lone Ranger,18.0,2.9456
1981-08-21,Private Lessons,2.8,26.279
1981-08-21,An American Werewolf in London,10.0,31.973249
1981-08-21,Honky Tonk Freeway,24.0,0.939423
1981-09-16,Das Boot,14.0,85.0
1981-10-15,The Evil Dead,0.35,29.4
1981-10-30,Halloween II,2.5,25.533818
1981-11-12,Roar,17.0,2.0
1981-11-13,Porky's,4.0,125.728258
1981-12-11,Pennies from Heaven,22.0,9.171289
1981-12-11,The Amateur,10.0,6.892098
1981-12-15,Quest for Fire,12.0,55.260558
1981-12-18,Absence of Malice,12.0,40.716963
1981-12-18,Neighbors,8.5,29.916207
1981-12-18,Heartbeeps,10.0,2.154696
1981-12-20,Taps,14.0,35.856053
1981-12-24,Mad Max 2: The Road Warrior,2.0,24.600832
1981-12-25,Reds,32.0,40.382659
1981-12-25,Peter-No-Tail,0.04874,0.955401
1982-01-01,Battletruck,1.0,3.0
1982-02-20,Death Wish 2,2.0,45.0
